"","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00489",13,25,29,97,0,244
"NBCAEPAK_00490",26,30,23,24,0,31
"NBCAEPAK_00491",309,275,315,239,0,335
"NBCAEPAK_00492",74,61,76,23,0,42
"NBCAEPAK_00493",66,53,56,14,0,33
"NBCAEPAK_00494",269,374,429,143,0,314
"NBCAEPAK_00495",15,25,42,5,0,15
"NBCAEPAK_00496",275,267,299,387,0,842
"NBCAEPAK_00497",108,63,65,42,0,105
"NBCAEPAK_00498",76,73,69,58,0,116
"NBCAEPAK_00499",99,107,121,95,0,150
"NBCAEPAK_00500",76,74,86,85,0,212
"NBCAEPAK_00501",26,22,40,74,0,63
"NBCAEPAK_00502",44,59,63,16,0,22
"NBCAEPAK_00503",197,257,203,54,0,113
"NBCAEPAK_00504",103,117,133,45,0,72
"NBCAEPAK_00505",641,759,811,350,0,661
"NBCAEPAK_00506",49,43,68,18,0,47
"NBCAEPAK_00507",26,14,26,13,0,13
"NBCAEPAK_00508",176,160,167,60,0,131
"NBCAEPAK_00509",74,38,50,20,0,22
"NBCAEPAK_00510",16,26,34,5,0,7
"NBCAEPAK_00511",36,10,13,5,0,9
"NBCAEPAK_00512",27,54,26,21,0,19
"NBCAEPAK_00513",34,35,33,39,0,46
"NBCAEPAK_00514",15,31,29,7,0,16
"NBCAEPAK_00515",109,90,113,54,0,63
"NBCAEPAK_00516",103,111,126,45,0,71
"NBCAEPAK_00517",49,44,49,15,0,16
"NBCAEPAK_00518",47,51,42,20,0,39
"NBCAEPAK_00519",79,79,67,22,0,37
"NBCAEPAK_00520",110,109,107,54,0,94
"NBCAEPAK_00521",356,319,417,42,0,59
"NBCAEPAK_00522",996,912,1223,70,0,155
"NBCAEPAK_00523",258,294,442,30,0,50
"NBCAEPAK_00524",995,1669,1413,90,0,200
"NBCAEPAK_00525",215,261,339,13,0,30
"NBCAEPAK_00526",443,406,433,19,0,49
"NBCAEPAK_00527",1020,1109,1634,40,0,115
"NBCAEPAK_00528",3372,3398,4149,275,0,577
"NBCAEPAK_00529",287,231,301,27,0,47
"NBCAEPAK_00530",86,72,75,8,0,8
"NBCAEPAK_00531",651,619,596,59,0,108
"NBCAEPAK_00532",307,246,398,35,0,34
"NBCAEPAK_00533",509,506,682,48,0,72
"NBCAEPAK_00534",279,367,429,21,0,54
"NBCAEPAK_00535",322,272,394,24,0,56
"NBCAEPAK_00536",1029,718,889,30,0,125
"NBCAEPAK_00537",321,360,359,24,0,40
"NBCAEPAK_00538",512,579,760,52,0,107
"NBCAEPAK_00539",1013,1399,1876,118,0,209
"NBCAEPAK_00540",209,224,282,21,0,39
"NBCAEPAK_00541",414,487,547,40,0,110
"NBCAEPAK_00542",2044,2732,3328,154,0,396
"NBCAEPAK_00543",509,413,511,44,0,74
"NBCAEPAK_00544",108,65,116,34,0,57
"NBCAEPAK_00545",729,865,1175,81,0,135
"NBCAEPAK_00546",144,203,240,22,0,50
"NBCAEPAK_00547",301,431,538,39,0,104
"NBCAEPAK_00548",573,651,898,81,0,123
"NBCAEPAK_00549",301,268,439,20,0,36
"NBCAEPAK_00550",2759,3110,4149,491,0,991
"NBCAEPAK_00551",2955,3330,4207,457,0,841
